Name,Final Price
PNBGILTS,116.80
TATATECH,"1,142.95"
NDLVENTURE,97.50
INFIBEAM,39.00
GANECOS,"1,039.15"
CHEMPLASTS,464.60
HUDCO,203.25
ELIN,150.90
BALAJITELE,85.35
ISMTLTD,98.50
LOVABLE,124.90
IDFCFIRSTB,79.00
AWL,356.40
FACT,701.00
HINDOILEXP,191.80
DALBHARAT,"2,058.00"
BANDHANBNK,191.95
ULTRACEMCO,"10,078.00"
JASH,"1,755.10"
IMAGICAA,86.30
JSWINFRA,253.00
SAREGAMA,392.90
LICHSGFIN,646.25
MANINFRA,213.50
BUTTERFLY,895.00
CELEBRITY,20.05
KSB,"3,965.00"
SWSOLAR,541.80
3MINDIA,"30,497.00"
KIOCL,455.00
KDDL,"2,452.00"
RIIL,"1,360.00"
SYMPHONY,964.95
CAMPUS,234.90
BHARATRAS,"8,821.50"
IBULHSGFIN,181.50
SARDAEN,221.95
XELPMOC,128.00
KPITTECH,"1,516.90"
COSMOFIRST,547.00
VAIBHAVGBL,392.00
BBL,"6,508.90"
FOODSIN,142.80
TITAN,"3,740.00"
GICHSGFIN,218.55
TTML,82.00
TNPETRO,88.95
AVADHSUGAR,588.45
LIKHITHA,253.40
RKFORGE,713.70
ATL,62.00
POLYCAB,"5,300.00"
GULPOLY,179.20
JITFINFRA,600.00
BANKBARODA,276.25
MINDACORP,421.80
M&MFIN,297.55
TRITURBINE,554.00
DELTACORP,124.70
BALKRISIND,"2,334.95"
ALLSEC,743.00
TCS,"3,975.90"
SHRIRAMFIN,"2,574.95"
JAGRAN,111.55
BAJEL,216.50
RATNAVEER,132.70
SAMHI,209.60
RATEGAIN,719.95
APTECHT,244.95
HPAL,105.00
ZEELEARN,7.00
VETO,133.20
CGPOWER,514.00
GAIL,190.45
SJVN,134.30
DCXINDIA,312.50
HTMEDIA,28.50
NAHARINDUS,128.70
LUXIND,"1,188.00"
PGHL,"4,797.00"
MAXESTATES,300.75
CENTUM,"1,762.45"
RAILTEL,394.05
RAIN,172.00
DELTAMAGNT,100.40
EIHOTEL,473.50
JISLJALEQS,57.40
ICICIBANK,"1,084.75"
ICRA,"5,474.80"
REFEX,143.80
LEMONTREE,143.85
SHEMAROO,158.50
CLSEL,230.55
VADILALIND,"4,408.50"
POLICYBZR,"1,199.00"
ASHOKA,173.40
INNOVACAP,478.15
EROSMEDIA,21.75
MOIL,319.65
UPL,480.00
TRENT,"3,950.00"
ASKAUTOLTD,291.45
INOXINDIA,"1,283.00"
BLKASHYAP,72.90
TANLA,935.05
SMLISUZU,"2,074.70"
LGHL,285.00
KPRMILL,856.00
PFOCUS,109.75
ZEEL,153.90
TVSMOTOR,"2,118.85"
CENTURYTEX,"1,686.45"
PAISALO,66.00
BERGEPAINT,564.90
AARTIDRUGS,477.95
JINDWORLD,353.10
HATHWAY,22.10
PFC,420.10
LUMAXTECH,494.10
J&KBANK,140.20
NEWGEN,798.65
ICIL,347.95
ABSLAMC,481.95
TATAMOTORS,"1,016.00"
ITI,275.05
SOLARINDS,"8,834.90"
JINDALSTEL,908.50
ATUL,"6,020.00"
DCMSHRIRAM,918.45
STLTECH,126.95
INDTERRAIN,75.00
LTIM,"4,901.95"
INFY,"1,490.55"
SNOWMAN,75.55
NELCO,772.00
IBREALEST,129.00
AWHCL,508.45
EASEMYTRIP,45.55
IMFA,736.90
YATRA,151.95
CONCOR,920.00
BIOCON,274.40
KIRLOSENG,894.05
SINTERCOM,130.25
NUVOCO,329.90
FORCEMOT,"7,749.00"
RICOAUTO,153.60
BLUEDART,"6,146.90"
RGL,115.45
EVEREADY,339.00
RPGLIFE,"1,562.70"
ASTEC,"1,149.15"
UTTAMSUGAR,350.00
MARKSANS,163.35
PREMEXPLN,"1,595.00"
MARICO,499.25
BAJAJ-AUTO,"9,139.00"
JIOFIN,359.40
NHPC,93.80
MIRZAINT,47.20
GRANULES,456.45
GUFICBIO,307.00
ANANTRAJ,330.95
SIGACHI,71.00
NUVAMA,"4,910.00"
MPHASIS,"2,500.00"
KOKUYOCMLN,126.65
AXISBANK,"1,070.00"
PATELENG,63.50
GSFC,238.20
GALAXYSURF,"2,505.00"
DIVISLAB,"3,708.00"
PARAS,715.35
IRCON,233.90
CASTROLIND,210.50
NESTLEIND,"2,569.80"
MCX,"3,596.05"
SPIC,81.50
DEVYANI,155.10
STAR,842.00
QUICKHEAL,507.00
GRAPHITE,656.00
OMAXAUTO,115.00
RBA,106.95
HEROMOTOCO,"4,585.00"
EIDPARRY,587.50
LICI,"1,003.80"
HIKAL,290.40
GILLETTE,"6,599.00"
HAVELLS,"1,559.90"
BORORENEW,551.00
JLHL,"1,203.05"
DEEPAKFERT,560.00
MEDANTA,"1,346.00"
PURVA,234.55
CCL,595.00
DHANI,41.95
TVSHLTD,"8,402.95"
ECLERX,"2,465.20"
APLAPOLLO,"1,610.00"
BBTCL,270.00
LT,"3,804.90"
JOCIL,187.20
DHAMPURSUG,230.00
FINEORG,"4,285.20"
BAJAJFINSV,"1,650.00"
PEL,864.00
KRYSTAL,839.70
MOLDTKPAC,841.00
HEMIPROP,215.00
RAMKY,619.55
IRBINVIT,68.90
DCMSRIND,189.85
SESHAPAPER,320.00
EICHERMOT,"3,957.00"
IIFLSEC,139.60
BIOFILCHEM,69.90
HAL,"3,609.95"
ROLEXRINGS,"1,864.75"
SWANENERGY,678.00
SHREERAMA,26.45
CMSINFO,415.05
UBL,"1,812.00"
CYIENTDLM,707.65
RAJSREESUG,70.85
ACC,"2,648.90"
SIGNPOST,355.00
CELLO,799.95
NSLNISP,62.35
GODFRYPHLP,"3,315.60"
GLENMARK,999.45
GPTHEALTH,187.45
WORTH,107.20
ZUARIIND,348.40
TECHNOE,826.00
GTPL,180.05
EXIDEIND,315.35
LOKESHMACH,424.00
KTKBANK,234.80
RELIANCE,"2,959.50"
RCF,145.40
CONTROLPR,947.00
SONATSOFTW,750.15
ICICIGI,"1,702.00"
SKIPPER,321.05
MRPL,239.00
APEX,211.50
KIRIINDUS,350.00
AVANTIFEED,516.70
THEMISMED,230.90
MODISONLTD,138.65
ENGINERSIN,222.10
